date,pincode,district,state,center_type,footfall,day_of_week,day_name,is_weekend,is_monday,month,quarter,week_of_month,day_of_month,is_first_week,is_holiday,is_day_after_holiday,is_enrollment_season,is_pension_month,is_festival_season,day_of_year,center_type_encoded,is_urban,is_rural,state_encoded,district_encoded,pincode_category,footfall_lag_7,footfall_lag_14,footfall_lag_30,footfall_rolling_mean_7,footfall_rolling_mean_14,footfall_rolling_mean_30,footfall_rolling_std_7,footfall_change_7d,footfall_change_30d,footfall_rolling_max_30,footfall_rolling_min_30,rural_pension_interaction,urban_enrollment_interaction,monday_first_week,weekend_holiday,lag_ratio_7_to_30
2025-02-10,110001,Central Delhi,Delhi,Urban,202,0,Monday,0,1,2,1,2,10,0,0,0,0,0,0,41,2,1,0,0,0,110001,236.0,265.0,143.0,167.14285714285714,170.92857142857142,154.06666666666666,71.0409003589448,-34.0,59.0,265.0,12.0,0,0,0,0,1.5219260533104042
2025-02-11,110001,Central Delhi,Delhi,Urban,221,1,Tuesday,0,0,2,1,2,11,0,0,0,0,0,0,42,2,1,0,0,0,110001,208.0,230.0,66.0,162.28571428571428,166.42857142857142,156.03333333333333,66.57004903536897,13.0,155.0,265.0,12.0,0,0,0,0,1.3245595414986202
2025-02-12,110001,Central Delhi,Delhi,Urban,150,2,Wednesday,0,0,2,1,2,12,0,0,0,0,0,0,43,2,1,0,0,0,110001,230.0,161.0,198.0,164.14285714285714,165.78571428571428,161.2,68.21883555008488,-80.0,-48.0,265.0,12.0,0,0,0,0,1.4180024660912456
2025-02-13,110001,Central Delhi,Delhi,Urban,199,3,Thursday,0,0,2,1,2,13,0,0,0,0,0,0,44,2,1,0,0,0,110001,210.0,203.0,168.0,152.71428571428572,165.0,159.6,61.74062489078614,-11.0,31.0,265.0,12.0,0,0,0,0,1.3075965130759652
2025-02-14,110001,Central Delhi,Delhi,Urban,157,4,Friday,0,0,2,1,2,14,0,0,0,0,0,0,45,2,1,0,0,0,110001,121.0,157.0,167.0,151.14285714285714,164.71428571428572,160.63333333333333,60.15931230609985,36.0,-10.0,265.0,12.0,0,0,0,0,0.7486079604042071
2025-02-15,110001,Central Delhi,Delhi,Urban,130,5,Saturday,1,0,2,1,3,15,0,0,0,0,0,0,46,2,1,0,0,0,110001,111.0,87.0,190.0,156.28571428571428,164.71428571428572,160.3,58.67343034603847,19.0,-60.0,265.0,12.0,0,0,0,0,0.6881587104773713
2025-02-16,110001,Central Delhi,Delhi,Urban,68,6,Sunday,1,0,2,1,3,16,0,0,0,0,0,0,47,2,1,0,0,0,110001,54.0,120.0,156.0,159.0,167.78571428571428,158.3,56.633323523640506,14.0,-88.0,265.0,12.0,0,0,0,0,0.3389830508474576
2025-02-17,110001,Central Delhi,Delhi,Urban,171,0,Monday,0,1,2,1,3,17,0,0,0,0,0,0,48,2,1,0,0,0,110001,202.0,236.0,117.0,161.0,164.07142857142858,155.36666666666667,52.395928595009494,-31.0,54.0,265.0,12.0,0,0,0,0,1.2918354295459389
2025-02-18,110001,Central Delhi,Delhi,Urban,200,1,Tuesday,0,0,2,1,3,18,0,0,0,0,0,0,49,2,1,0,0,0,110001,221.0,208.0,60.0,156.57142857142858,159.42857142857142,157.16666666666666,49.58782492661259,-21.0,140.0,265.0,12.0,0,0,0,0,1.3972602739726028
2025-02-19,110001,Central Delhi,Delhi,Urban,176,2,Wednesday,0,0,2,1,3,19,0,0,0,0,0,0,50,2,1,0,0,0,110001,150.0,230.0,174.0,153.57142857142858,158.85714285714286,161.83333333333334,45.50771781744697,26.0,2.0,265.0,12.0,0,0,0,0,0.9211873080859774
2025-02-20,110001,Central Delhi,Delhi,Urban,129,3,Thursday,0,0,2,1,3,20,0,0,0,0,0,0,51,2,1,0,0,0,110001,199.0,210.0,221.0,157.28571428571428,155.0,161.9,46.22306165293931,-70.0,-92.0,265.0,12.0,0,0,0,0,1.2216083486801719
2025-02-21,110001,Central Delhi,Delhi,Urban,143,4,Friday,0,0,2,1,3,21,0,0,0,0,0,0,52,2,1,0,0,0,110001,157.0,121.0,172.0,147.28571428571428,149.21428571428572,158.83333333333334,43.16524174886658,-14.0,-29.0,265.0,12.0,0,0,0,0,0.9822732012513034
2025-02-22,110001,Central Delhi,Delhi,Urban,112,5,Saturday,1,0,2,1,4,22,0,0,0,0,0,0,53,2,1,0,0,0,110001,130.0,111.0,123.0,145.28571428571428,150.78571428571428,157.86666666666667,42.96399378438602,-18.0,-11.0,265.0,12.0,0,0,0,0,0.8182962652119177
2025-02-23,110001,Central Delhi,Delhi,Urban,102,6,Sunday,1,0,2,1,4,23,0,0,0,0,0,0,54,2,1,0,0,0,110001,68.0,54.0,167.0,142.71428571428572,150.85714285714286,157.5,44.54104581063135,34.0,-65.0,265.0,12.0,0,0,0,0,0.42902208201892744
2025-02-24,110001,Central Delhi,Delhi,Urban,200,0,Monday,0,1,2,1,4,24,0,0,0,0,0,0,55,2,1,0,0,0,110001,171.0,202.0,95.0,147.57142857142858,154.28571428571428,155.33333333333334,36.087195988130105,29.0,105.0,265.0,12.0,0,0,0,0,1.0938166311300639
2025-02-25,110001,Central Delhi,Delhi,Urban,127,1,Tuesday,0,0,2,1,4,25,0,0,0,0,0,0,56,2,1,0,0,0,110001,200.0,221.0,12.0,151.71428571428572,154.14285714285714,158.83333333333334,40.60670833624367,-73.0,115.0,265.0,12.0,0,0,0,0,1.251303441084463
2025-02-26,110001,Central Delhi,Delhi,Urban,208,2,Wednesday,0,0,2,1,4,26,0,0,0,0,0,0,57,2,1,0,0,0,110001,176.0,150.0,265.0,141.28571428571428,147.42857142857142,162.66666666666666,35.145954180219576,32.0,-57.0,265.0,54.0,0,0,0,0,1.075356415478615
2025-02-27,110001,Central Delhi,Delhi,Urban,162,3,Thursday,0,0,2,1,4,27,0,0,0,0,0,0,58,2,1,0,0,0,110001,129.0,199.0,230.0,145.85714285714286,151.57142857142858,160.76666666666668,41.85462368495891,33.0,-68.0,236.0,54.0,0,0,0,0,0.7974448794560065
2025-02-28,110001,Central Delhi,Delhi,Urban,137,4,Friday,0,0,2,1,4,28,0,0,0,0,0,0,59,2,1,0,0,0,110001,143.0,157.0,161.0,150.57142857142858,148.92857142857142,158.5,41.4964140734158,-6.0,-24.0,236.0,54.0,0,0,0,0,0.896551724137931
2025-03-01,110001,Central Delhi,Delhi,Urban,174,5,Saturday,1,0,3,1,1,1,1,0,0,0,0,0,60,2,1,0,0,0,110001,112.0,130.0,203.0,149.71428571428572,147.5,157.7,41.74012572139781,62.0,-29.0,236.0,54.0,0,0,0,0,0.7057340894770007
2025-03-02,110001,Central Delhi,Delhi,Urban,99,6,Sunday,1,0,3,1,1,2,1,0,0,0,0,0,61,2,1,0,0,0,110001,102.0,68.0,157.0,158.57142857142858,150.64285714285714,156.73333333333332,38.88383187074522,-3.0,-58.0,236.0,54.0,0,0,0,0,0.6466610312764159
2025-03-03,110001,Central Delhi,Delhi,Urban,282,0,Monday,0,1,3,1,1,3,1,0,0,0,0,0,62,2,1,0,0,0,110001,200.0,171.0,87.0,158.14285714285714,152.85714285714286,154.8,39.62082184672,82.0,195.0,236.0,54.0,0,0,1,0,1.2836970474967906
2025-03-04,110001,Central Delhi,Delhi,Urban,281,1,Tuesday,0,0,3,1,1,4,1,0,0,0,0,0,63,2,1,0,0,0,110001,127.0,200.0,120.0,169.85714285714286,160.78571428571428,161.3,60.61745780281612,154.0,161.0,282.0,54.0,0,0,0,0,0.7825015403573629
2025-03-05,110001,Central Delhi,Delhi,Urban,179,2,Wednesday,0,0,3,1,1,5,1,0,0,0,0,0,64,2,1,0,0,0,110001,208.0,176.0,236.0,191.85714285714286,166.57142857142858,166.66666666666666,69.73145768214081,-29.0,-57.0,282.0,54.0,0,0,0,0,1.2405566600397615
2025-03-06,110001,Central Delhi,Delhi,Urban,206,3,Thursday,0,0,3,1,1,6,1,0,0,0,0,0,65,2,1,0,0,0,110001,162.0,129.0,208.0,187.71428571428572,166.78571428571428,164.76666666666668,69.47353041678127,44.0,-2.0,282.0,54.0,0,0,0,0,0.9772772974059922
2025-03-07,110001,Central Delhi,Delhi,Urban,154,4,Friday,0,0,3,1,1,7,1,0,0,0,0,0,66,2,1,0,0,0,110001,137.0,143.0,230.0,194.0,172.28571428571428,164.7,68.74590896918889,17.0,-76.0,282.0,54.0,0,0,0,0,0.8267954133977068
2025-03-08,110001,Central Delhi,Delhi,Urban,114,5,Saturday,1,0,3,1,2,8,0,0,0,0,0,0,67,2,1,0,0,0,110001,174.0,112.0,210.0,196.42857142857142,173.07142857142858,162.16666666666666,66.66547617984679,-60.0,-96.0,282.0,54.0,0,0,0,0,1.066394279877426
2025-03-09,110001,Central Delhi,Delhi,Urban,101,6,Sunday,1,0,3,1,2,9,0,0,0,0,0,0,68,2,1,0,0,0,110001,99.0,102.0,121.0,187.85714285714286,173.21428571428572,158.96666666666667,73.5332772093211,2.0,-20.0,282.0,54.0,0,0,0,0,0.6188789331110648
2025-03-10,110001,Central Delhi,Delhi,Urban,196,0,Monday,0,1,3,1,2,10,0,0,0,0,0,0,69,2,1,0,0,0,110001,282.0,200.0,111.0,188.14285714285714,173.14285714285714,158.3,73.1332769023527,-86.0,85.0,282.0,54.0,0,0,0,0,1.7702448210922785
2025-03-11,110001,Central Delhi,Delhi,Urban,217,1,Tuesday,0,0,3,1,2,11,0,0,0,0,0,0,70,2,1,0,0,0,110001,281.0,127.0,54.0,175.85714285714286,172.85714285714286,161.13333333333333,60.94650269274025,-64.0,163.0,282.0,54.0,0,0,0,0,1.7331414473684212
2025-03-12,110001,Central Delhi,Delhi,Urban,226,2,Wednesday,0,0,3,1,2,12,0,0,0,0,0,0,71,2,1,0,0,0,110001,179.0,208.0,202.0,166.71428571428572,179.28571428571428,166.56666666666666,45.349436915704175,47.0,24.0,282.0,68.0,0,0,0,0,1.0682315496319872
2025-03-13,110001,Central Delhi,Delhi,Urban,147,3,Thursday,0,0,3,1,2,13,0,0,0,0,0,0,72,2,1,0,0,0,110001,206.0,162.0,221.0,173.42857142857142,180.57142857142858,167.36666666666667,50.64206796349308,-59.0,-74.0,282.0,68.0,0,0,0,0,1.223520095030687
2025-03-14,110001,Central Delhi,Delhi,Urban,49,4,Friday,0,0,3,1,2,14,0,1,0,0,0,0,73,2,1,0,0,0,110001,154.0,137.0,150.0,165.0,179.5,164.9,49.2070455659892,-105.0,-101.0,282.0,68.0,0,0,0,0,0.9282700421940928
2025-03-15,110001,Central Delhi,Delhi,Urban,126,5,Saturday,1,0,3,1,3,15,0,0,1,0,0,0,74,2,1,0,0,0,110001,114.0,174.0,199.0,150.0,173.21428571428572,161.53333333333333,66.19164096268754,12.0,-73.0,282.0,49.0,0,0,0,0,0.7013945857260049
2025-03-16,110001,Central Delhi,Delhi,Urban,102,6,Sunday,1,0,3,1,3,16,0,0,0,0,0,0,75,2,1,0,0,0,110001,101.0,99.0,157.0,151.71428571428572,169.78571428571428,159.1,65.25262264388125,1.0,-55.0,282.0,49.0,0,0,0,0,0.6308557151780138
2025-03-17,110001,Central Delhi,Delhi,Urban,241,0,Monday,0,1,3,1,3,17,0,0,0,0,0,0,76,2,1,0,0,0,110001,196.0,282.0,130.0,151.85714285714286,170.0,157.26666666666668,65.12405743765402,45.0,111.0,282.0,49.0,0,0,0,0,1.2384161752316765
2025-03-18,110001,Central Delhi,Delhi,Urban,191,1,Tuesday,0,0,3,1,3,18,0,0,0,0,0,0,77,2,1,0,0,0,110001,217.0,281.0,68.0,158.28571428571428,167.07142857142858,160.96666666666667,72.05949922509474,-26.0,123.0,282.0,49.0,0,0,0,0,1.3397818481168964
2025-03-19,110001,Central Delhi,Delhi,Urban,199,2,Wednesday,0,0,3,1,3,19,0,0,0,0,0,0,78,2,1,0,0,0,110001,226.0,179.0,171.0,154.57142857142858,160.64285714285714,165.06666666666666,69.13961031337764,-27.0,28.0,282.0,49.0,0,0,0,0,1.3608992372541149
2025-03-20,110001,Central Delhi,Delhi,Urban,251,3,Thursday,0,0,3,1,3,20,0,0,0,0,0,0,79,2,1,0,0,0,110001,147.0,206.0,200.0,150.71428571428572,162.07142857142858,166.0,65.12734777780706,104.0,51.0,282.0,49.0,0,0,0,0,0.8802395209580839
2025-03-21,110001,Central Delhi,Delhi,Urban,159,4,Friday,0,0,3,1,3,21,0,0,0,0,0,0,80,2,1,0,0,0,110001,49.0,154.0,176.0,165.57142857142858,165.28571428571428,167.7,75.219361742522,110.0,-17.0,282.0,49.0,0,0,0,0,0.29045643153526973
2025-03-22,110001,Central Delhi,Delhi,Urban,115,5,Saturday,1,0,3,1,4,22,0,0,0,0,0,0,81,2,1,0,0,0,110001,126.0,114.0,129.0,181.28571428571428,165.64285714285714,167.13333333333333,55.78743671507141,-11.0,-14.0,282.0,49.0,0,0,0,0,0.7494052339413164
2025-03-23,110001,Central Delhi,Delhi,Urban,90,6,Sunday,1,0,3,1,4,23,0,0,0,0,0,0,82,2,1,0,0,0,110001,102.0,101.0,143.0,179.71428571428572,165.71428571428572,166.66666666666666,57.72554109956958,-12.0,-53.0,282.0,49.0,0,0,0,0,0.6083499005964215
2025-03-24,110001,Central Delhi,Delhi,Urban,253,0,Monday,0,1,3,1,4,24,0,0,0,0,0,0,83,2,1,0,0,0,110001,241.0,196.0,112.0,178.0,164.92857142857142,164.9,60.52823032822509,12.0,141.0,282.0,49.0,0,0,0,0,1.4526823387582881
2025-03-25,110001,Central Delhi,Delhi,Urban,251,1,Tuesday,0,0,3,1,4,25,0,0,0,0,0,0,84,2,1,0,0,0,110001,191.0,217.0,102.0,179.71428571428572,169.0,169.6,62.73944608647814,60.0,149.0,282.0,49.0,0,0,0,0,1.11957796014068
2025-03-26,110001,Central Delhi,Delhi,Urban,172,2,Wednesday,0,0,3,1,4,26,0,0,0,0,0,0,85,2,1,0,0,0,110001,199.0,226.0,200.0,188.28571428571428,171.42857142857142,174.56666666666666,68.38302490558675,-27.0,-28.0,282.0,49.0,0,0,0,0,1.13347256502753
2025-03-27,110001,Central Delhi,Delhi,Urban,146,3,Thursday,0,0,3,1,4,27,0,0,0,0,0,0,86,2,1,0,0,0,110001,251.0,147.0,127.0,184.42857142857142,167.57142857142858,173.63333333333333,68.43940663793326,-105.0,19.0,282.0,49.0,0,0,0,0,1.4372971941210155
2025-03-28,110001,Central Delhi,Delhi,Urban,176,4,Friday,0,0,3,1,4,28,0,0,0,0,0,0,87,2,1,0,0,0,110001,159.0,49.0,208.0,169.42857142857142,167.5,174.26666666666668,62.68135592783855,17.0,-32.0,282.0,49.0,0,0,0,0,0.907189045264359
2025-03-29,110001,Central Delhi,Delhi,Urban,145,5,Saturday,1,0,3,1,5,29,0,0,0,0,0,0,88,2,1,0,0,0,110001,115.0,126.0,162.0,171.85714285714286,176.57142857142858,173.2,62.53913060750732,30.0,-17.0,282.0,49.0,0,0,0,0,0.6601607347876005
2025-03-30,110001,Central Delhi,Delhi,Urban,112,6,Sunday,1,0,3,1,5,30,0,0,0,0,0,0,89,2,1,0,0,0,110001,90.0,102.0,137.0,176.14285714285714,177.92857142857142,172.63333333333333,58.91640567060128,22.0,-25.0,282.0,49.0,0,0,0,0,0.5183336532923786
2025-03-31,110001,Central Delhi,Delhi,Urban,83,0,Monday,0,1,3,1,5,31,0,1,0,0,0,0,90,2,1,0,0,0,110001,253.0,241.0,174.0,179.28571428571428,178.64285714285714,171.8,53.93117306874967,-170.0,-91.0,282.0,49.0,0,0,0,0,1.4641203703703702
2025-04-01,110001,Central Delhi,Delhi,Urban,394,1,Tuesday,0,0,4,2,1,1,1,0,1,0,0,0,91,2,1,0,0,0,110001,251.0,191.0,99.0,155.0,167.35714285714286,168.76666666666668,53.47896782848376,143.0,295.0,282.0,49.0,0,0,0,0,1.4784999018260356
2025-04-02,110001,Central Delhi,Delhi,Urban,220,2,Wednesday,0,0,4,2,1,2,1,0,0,0,0,0,92,2,1,0,0,0,110001,172.0,199.0,282.0,175.42857142857142,181.85714285714286,178.6,101.77075077980763,48.0,-62.0,394.0,49.0,0,0,0,0,0.957683741648107
2025-04-03,110001,Central Delhi,Delhi,Urban,244,3,Thursday,0,0,4,2,1,3,1,0,0,0,0,0,93,2,1,0,0,0,110001,146.0,251.0,281.0,182.28571428571428,183.35714285714286,176.53333333333333,103.109511823941,98.0,-37.0,394.0,49.0,0,0,0,0,0.82238077356365
2025-04-04,110001,Central Delhi,Delhi,Urban,246,4,Friday,0,0,4,2,1,4,1,0,0,0,0,0,94,2,1,0,0,0,110001,176.0,159.0,179.0,196.28571428571428,182.85714285714286,175.3,104.010759516687,70.0,67.0,394.0,49.0,0,0,0,0,0.9982983550765739
2025-04-05,110001,Central Delhi,Delhi,Urban,119,5,Saturday,1,0,4,2,1,5,1,0,0,0,0,0,95,2,1,0,0,0,110001,145.0,115.0,206.0,206.28571428571428,189.07142857142858,177.53333333333333,105.09474183756656,-26.0,-87.0,394.0,49.0,0,0,0,0,0.8121732636295743
2025-04-06,110001,Central Delhi,Delhi,Urban,120,6,Sunday,1,0,4,2,1,6,1,0,0,0,0,0,96,2,1,0,0,0,110001,112.0,90.0,154.0,202.57142857142858,189.35714285714286,174.63333333333333,108.03989562943426,8.0,-34.0,394.0,49.0,0,0,0,0,0.6376921617005125
2025-04-07,110001,Central Delhi,Delhi,Urban,280,0,Monday,0,1,4,2,1,7,1,0,0,0,0,0,97,2,1,0,0,0,110001,83.0,253.0,114.0,203.71428571428572,191.5,173.5,106.95904868330729,197.0,166.0,394.0,49.0,0,0,1,0,0.47564469914040114
2025-04-08,110001,Central Delhi,Delhi,Urban,253,1,Tuesday,0,0,4,2,2,8,0,0,0,0,0,0,98,2,1,0,0,0,110001,394.0,251.0,101.0,231.85714285714286,193.42857142857142,179.03333333333333,95.17077382514125,-141.0,152.0,394.0,49.0,0,0,0,0,2.188483614145529
2025-04-09,110001,Central Delhi,Delhi,Urban,202,2,Wednesday,0,0,4,2,2,9,0,0,0,0,0,0,99,2,1,0,0,0,110001,220.0,172.0,196.0,211.71428571428572,193.57142857142858,184.1,65.39804860930305,-18.0,6.0,394.0,49.0,0,0,0,0,1.1885467314964884
2025-04-10,110001,Central Delhi,Delhi,Urban,28,3,Thursday,0,0,4,2,2,10,0,1,0,0,0,0,100,2,1,0,0,0,110001,244.0,146.0,217.0,209.14285714285714,195.71428571428572,184.3,65.37183025184619,-216.0,-189.0,394.0,49.0,0,0,0,0,1.3167835941716135
2025-04-11,110001,Central Delhi,Delhi,Urban,318,4,Friday,0,0,4,2,2,11,0,0,1,0,0,0,101,2,1,0,0,0,110001,246.0,176.0,226.0,178.28571428571428,187.28571428571428,178.0,91.80906688287799,72.0,92.0,394.0,28.0,0,0,0,0,1.3743016759776536
2025-04-12,110001,Central Delhi,Delhi,Urban,186,5,Saturday,1,0,4,2,2,12,0,0,0,0,0,0,102,2,1,0,0,0,110001,119.0,145.0,147.0,188.57142857142858,197.42857142857142,181.06666666666666,103.89715610939044,67.0,39.0,394.0,28.0,0,0,0,0,0.6536067374588063
2025-04-13,110001,Central Delhi,Delhi,Urban,70,6,Sunday,1,0,4,2,2,13,0,0,0,0,0,0,103,2,1,0,0,0,110001,120.0,112.0,49.0,198.14285714285714,200.35714285714286,182.36666666666667,99.40896768975551,-50.0,21.0,394.0,28.0,0,0,0,0,0.6544264679149245
2025-04-14,110001,Central Delhi,Delhi,Urban,64,0,Monday,0,1,4,2,2,14,0,1,0,0,0,0,104,2,1,0,0,0,110001,280.0,83.0,126.0,191.0,197.35714285714286,183.06666666666666,107.4321491298888,-216.0,-62.0,394.0,28.0,0,0,0,0,1.5211879753712423
2025-04-15,110001,Central Delhi,Delhi,Urban,420,1,Tuesday,0,0,4,2,3,15,0,0,1,0,0,0,105,2,1,0,0,0,110001,253.0,394.0,102.0,160.14285714285714,196.0,181.0,108.62232516296788,167.0,318.0,394.0,28.0,0,0,0,0,1.39010989010989
2025-04-16,110001,Central Delhi,Delhi,Urban,267,2,Wednesday,0,0,4,2,3,16,0,0,0,0,0,0,106,2,1,0,0,0,110001,202.0,220.0,241.0,184.0,197.85714285714286,191.6,144.74805698177784,65.0,26.0,420.0,28.0,0,0,0,0,1.0488058151609554
2025-04-17,110001,Central Delhi,Delhi,Urban,261,3,Thursday,0,0,4,2,3,17,0,0,0,0,0,0,107,2,1,0,0,0,110001,28.0,244.0,191.0,193.28571428571428,201.21428571428572,192.46666666666667,148.14037744170707,233.0,70.0,420.0,28.0,0,0,0,0,0.1447277739490007
2025-04-18,110001,Central Delhi,Delhi,Urban,211,4,Friday,0,0,4,2,3,18,0,0,0,0,0,0,108,2,1,0,0,0,110001,318.0,246.0,199.0,226.57142857142858,202.42857142857142,194.8,129.86128130028743,-107.0,12.0,420.0,28.0,0,0,0,0,1.6241062308478038
2025-04-19,110001,Central Delhi,Delhi,Urban,127,5,Saturday,1,0,4,2,3,19,0,0,0,0,0,0,109,2,1,0,0,0,110001,186.0,119.0,251.0,211.28571428571428,199.92857142857142,195.2,123.4446087464796,-59.0,-124.0,420.0,28.0,0,0,0,0,0.9480122324159022
2025-04-20,110001,Central Delhi,Delhi,Urban,99,6,Sunday,1,0,4,2,3,20,0,0,0,0,0,0,110,2,1,0,0,0,110001,70.0,120.0,159.0,202.85714285714286,200.5,191.06666666666666,127.40935152940249,29.0,-60.0,420.0,28.0,0,0,0,0,0.36445678583825064
2025-04-21,110001,Central Delhi,Delhi,Urban,327,0,Monday,0,1,4,2,3,21,0,0,0,0,0,0,111,2,1,0,0,0,110001,64.0,280.0,115.0,207.0,199.0,189.06666666666666,122.75585525749882,263.0,212.0,420.0,28.0,0,0,0,0,0.33672395650648895
2025-04-22,110001,Central Delhi,Delhi,Urban,230,1,Tuesday,0,0,4,2,4,22,0,0,0,0,0,0,112,2,1,0,0,0,110001,420.0,253.0,90.0,244.57142857142858,202.35714285714286,196.13333333333333,111.41791768361308,-190.0,140.0,420.0,28.0,0,0,0,0,2.1305377071356104
2025-04-23,110001,Central Delhi,Delhi,Urban,220,2,Wednesday,0,0,4,2,4,23,0,0,0,0,0,0,113,2,1,0,0,0,110001,267.0,202.0,253.0,217.42857142857142,200.71428571428572,200.8,80.37797613537583,-47.0,-33.0,420.0,28.0,0,0,0,0,1.3230921704658076
2025-04-24,110001,Central Delhi,Delhi,Urban,196,3,Thursday,0,0,4,2,4,24,0,0,0,0,0,0,114,2,1,0,0,0,110001,261.0,28.0,251.0,210.71428571428572,202.0,199.7,77.45690045807041,-65.0,-55.0,420.0,28.0,0,0,0,0,1.3004484304932735
2025-04-25,110001,Central Delhi,Delhi,Urban,188,4,Friday,0,0,4,2,4,25,0,0,0,0,0,0,115,2,1,0,0,0,110001,211.0,318.0,172.0,201.42857142857142,214.0,197.86666666666667,74.25374770083357,-23.0,16.0,420.0,28.0,0,0,0,0,1.0610124036205162
2025-04-26,110001,Central Delhi,Delhi,Urban,128,5,Saturday,1,0,4,2,4,26,0,0,0,0,0,0,116,2,1,0,0,0,110001,127.0,186.0,146.0,198.14285714285714,204.71428571428572,198.4,74.26849617307141,1.0,-18.0,420.0,28.0,0,0,0,0,0.6369107321965898
2025-04-27,110001,Central Delhi,Delhi,Urban,91,6,Sunday,1,0,4,2,4,27,0,0,0,0,0,0,117,2,1,0,0,0,110001,99.0,70.0,176.0,198.28571428571428,200.57142857142858,197.8,74.10963564367385,-8.0,-85.0,420.0,28.0,0,0,0,0,0.49798792756539234
2025-04-28,110001,Central Delhi,Delhi,Urban,339,0,Monday,0,1,4,2,4,28,0,0,0,0,0,0,118,2,1,0,0,0,110001,327.0,64.0,145.0,197.14285714285714,202.07142857142858,194.96666666666667,75.9351226847159,12.0,194.0,420.0,28.0,0,0,0,0,1.6686511311447525
2025-04-29,110001,Central Delhi,Delhi,Urban,171,1,Tuesday,0,0,4,2,5,29,0,0,0,0,0,0,119,2,1,0,0,0,110001,230.0,420.0,112.0,198.85714285714286,221.71428571428572,201.43333333333334,79.41122626645968,-59.0,59.0,420.0,28.0,0,0,0,0,1.1361765190186068
