date,pincode,district,state,center_type,footfall
2025-07-17,110001,Central Delhi,Delhi,Urban,313
2025-07-18,110001,Central Delhi,Delhi,Urban,212
2025-07-19,110001,Central Delhi,Delhi,Urban,196
2025-07-20,110001,Central Delhi,Delhi,Urban,90
2025-07-21,110001,Central Delhi,Delhi,Urban,325
2025-07-22,110001,Central Delhi,Delhi,Urban,273
2025-07-23,110001,Central Delhi,Delhi,Urban,225
2025-07-24,110001,Central Delhi,Delhi,Urban,270
2025-07-25,110001,Central Delhi,Delhi,Urban,256
2025-07-26,110001,Central Delhi,Delhi,Urban,151
2025-07-27,110001,Central Delhi,Delhi,Urban,118
2025-07-28,110001,Central Delhi,Delhi,Urban,381
2025-07-29,110001,Central Delhi,Delhi,Urban,352
2025-07-30,110001,Central Delhi,Delhi,Urban,399
2025-07-31,110001,Central Delhi,Delhi,Urban,276
2025-08-01,110001,Central Delhi,Delhi,Urban,254
2025-08-02,110001,Central Delhi,Delhi,Urban,138
2025-08-03,110001,Central Delhi,Delhi,Urban,99
2025-08-04,110001,Central Delhi,Delhi,Urban,191
2025-08-05,110001,Central Delhi,Delhi,Urban,247
2025-08-06,110001,Central Delhi,Delhi,Urban,290
2025-08-07,110001,Central Delhi,Delhi,Urban,260
2025-08-08,110001,Central Delhi,Delhi,Urban,144
2025-08-09,110001,Central Delhi,Delhi,Urban,144
2025-08-10,110001,Central Delhi,Delhi,Urban,66
2025-08-11,110001,Central Delhi,Delhi,Urban,205
2025-08-12,110001,Central Delhi,Delhi,Urban,223
2025-08-13,110001,Central Delhi,Delhi,Urban,183
2025-08-14,110001,Central Delhi,Delhi,Urban,216
2025-08-15,110001,Central Delhi,Delhi,Urban,40
2025-08-16,110001,Central Delhi,Delhi,Urban,164
2025-08-17,110001,Central Delhi,Delhi,Urban,81
2025-08-18,110001,Central Delhi,Delhi,Urban,206
2025-08-19,110001,Central Delhi,Delhi,Urban,291
2025-08-20,110001,Central Delhi,Delhi,Urban,195
2025-08-21,110001,Central Delhi,Delhi,Urban,198
2025-08-22,110001,Central Delhi,Delhi,Urban,213
2025-08-23,110001,Central Delhi,Delhi,Urban,111
2025-08-24,110001,Central Delhi,Delhi,Urban,56
2025-08-25,110001,Central Delhi,Delhi,Urban,199
2025-08-26,110001,Central Delhi,Delhi,Urban,262
2025-08-27,110001,Central Delhi,Delhi,Urban,49
2025-08-28,110001,Central Delhi,Delhi,Urban,415
2025-08-29,110001,Central Delhi,Delhi,Urban,178
2025-08-30,110001,Central Delhi,Delhi,Urban,107
2025-08-31,110001,Central Delhi,Delhi,Urban,66
2025-09-01,110001,Central Delhi,Delhi,Urban,215
2025-09-02,110001,Central Delhi,Delhi,Urban,308
2025-09-03,110001,Central Delhi,Delhi,Urban,246
2025-09-04,110001,Central Delhi,Delhi,Urban,205
2025-09-05,110001,Central Delhi,Delhi,Urban,259
2025-09-06,110001,Central Delhi,Delhi,Urban,118
2025-09-07,110001,Central Delhi,Delhi,Urban,69
2025-09-08,110001,Central Delhi,Delhi,Urban,293
2025-09-09,110001,Central Delhi,Delhi,Urban,177
2025-09-10,110001,Central Delhi,Delhi,Urban,178
2025-09-11,110001,Central Delhi,Delhi,Urban,166
2025-09-12,110001,Central Delhi,Delhi,Urban,176
2025-09-13,110001,Central Delhi,Delhi,Urban,135
2025-09-14,110001,Central Delhi,Delhi,Urban,77
2025-09-15,110001,Central Delhi,Delhi,Urban,224
2025-09-16,110001,Central Delhi,Delhi,Urban,216
2025-09-17,110001,Central Delhi,Delhi,Urban,219
2025-09-18,110001,Central Delhi,Delhi,Urban,155
2025-09-19,110001,Central Delhi,Delhi,Urban,176
2025-09-20,110001,Central Delhi,Delhi,Urban,90
2025-09-21,110001,Central Delhi,Delhi,Urban,71
2025-09-22,110001,Central Delhi,Delhi,Urban,217
2025-09-23,110001,Central Delhi,Delhi,Urban,199
2025-09-24,110001,Central Delhi,Delhi,Urban,176
2025-09-25,110001,Central Delhi,Delhi,Urban,169
2025-09-26,110001,Central Delhi,Delhi,Urban,149
2025-09-27,110001,Central Delhi,Delhi,Urban,135
2025-09-28,110001,Central Delhi,Delhi,Urban,84
2025-09-29,110001,Central Delhi,Delhi,Urban,273
2025-09-30,110001,Central Delhi,Delhi,Urban,124
2025-10-01,110001,Central Delhi,Delhi,Urban,292
2025-10-02,110001,Central Delhi,Delhi,Urban,46
2025-10-03,110001,Central Delhi,Delhi,Urban,347
2025-10-04,110001,Central Delhi,Delhi,Urban,207
2025-10-05,110001,Central Delhi,Delhi,Urban,124
2025-10-06,110001,Central Delhi,Delhi,Urban,280
2025-10-07,110001,Central Delhi,Delhi,Urban,294
2025-10-08,110001,Central Delhi,Delhi,Urban,287
2025-10-09,110001,Central Delhi,Delhi,Urban,262
2025-10-10,110001,Central Delhi,Delhi,Urban,259
2025-10-11,110001,Central Delhi,Delhi,Urban,95
2025-10-12,110001,Central Delhi,Delhi,Urban,76
2025-10-13,110001,Central Delhi,Delhi,Urban,305
2025-10-14,110001,Central Delhi,Delhi,Urban,268
2025-10-15,110001,Central Delhi,Delhi,Urban,246
2025-10-16,110001,Central Delhi,Delhi,Urban,255
2025-10-17,110001,Central Delhi,Delhi,Urban,191
2025-10-18,110001,Central Delhi,Delhi,Urban,159
2025-10-19,110001,Central Delhi,Delhi,Urban,156
2025-10-20,110001,Central Delhi,Delhi,Urban,292
2025-10-21,110001,Central Delhi,Delhi,Urban,228
2025-10-22,110001,Central Delhi,Delhi,Urban,252
2025-10-23,110001,Central Delhi,Delhi,Urban,220
2025-10-24,110001,Central Delhi,Delhi,Urban,51
2025-10-25,110001,Central Delhi,Delhi,Urban,235
2025-10-26,110001,Central Delhi,Delhi,Urban,88
2025-10-27,110001,Central Delhi,Delhi,Urban,255
2025-10-28,110001,Central Delhi,Delhi,Urban,260
2025-10-29,110001,Central Delhi,Delhi,Urban,299
2025-10-30,110001,Central Delhi,Delhi,Urban,278
2025-10-31,110001,Central Delhi,Delhi,Urban,181
2025-11-01,110001,Central Delhi,Delhi,Urban,52
2025-11-02,110001,Central Delhi,Delhi,Urban,229
2025-11-03,110001,Central Delhi,Delhi,Urban,373
2025-11-04,110001,Central Delhi,Delhi,Urban,472
2025-11-05,110001,Central Delhi,Delhi,Urban,345
2025-11-06,110001,Central Delhi,Delhi,Urban,340
2025-11-07,110001,Central Delhi,Delhi,Urban,271
2025-11-08,110001,Central Delhi,Delhi,Urban,264
2025-11-09,110001,Central Delhi,Delhi,Urban,161
2025-11-10,110001,Central Delhi,Delhi,Urban,288
2025-11-11,110001,Central Delhi,Delhi,Urban,331
2025-11-12,110001,Central Delhi,Delhi,Urban,245
2025-11-13,110001,Central Delhi,Delhi,Urban,273
2025-11-14,110001,Central Delhi,Delhi,Urban,207
2025-11-15,110001,Central Delhi,Delhi,Urban,215
2025-11-16,110001,Central Delhi,Delhi,Urban,91
2025-11-17,110001,Central Delhi,Delhi,Urban,347
2025-11-18,110001,Central Delhi,Delhi,Urban,280
2025-11-19,110001,Central Delhi,Delhi,Urban,285
2025-11-20,110001,Central Delhi,Delhi,Urban,170
2025-11-21,110001,Central Delhi,Delhi,Urban,273
2025-11-22,110001,Central Delhi,Delhi,Urban,248
2025-11-23,110001,Central Delhi,Delhi,Urban,108
2025-11-24,110001,Central Delhi,Delhi,Urban,450
2025-11-25,110001,Central Delhi,Delhi,Urban,298
2025-11-26,110001,Central Delhi,Delhi,Urban,291
2025-11-27,110001,Central Delhi,Delhi,Urban,241
2025-11-28,110001,Central Delhi,Delhi,Urban,250
2025-11-29,110001,Central Delhi,Delhi,Urban,172
2025-11-30,110001,Central Delhi,Delhi,Urban,153
2025-12-01,110001,Central Delhi,Delhi,Urban,187
2025-12-02,110001,Central Delhi,Delhi,Urban,281
2025-12-03,110001,Central Delhi,Delhi,Urban,232
2025-12-04,110001,Central Delhi,Delhi,Urban,178
2025-12-05,110001,Central Delhi,Delhi,Urban,215
2025-12-06,110001,Central Delhi,Delhi,Urban,200
2025-12-07,110001,Central Delhi,Delhi,Urban,110
2025-12-08,110001,Central Delhi,Delhi,Urban,246
2025-12-09,110001,Central Delhi,Delhi,Urban,205
2025-12-10,110001,Central Delhi,Delhi,Urban,214
2025-12-11,110001,Central Delhi,Delhi,Urban,247
2025-12-12,110001,Central Delhi,Delhi,Urban,213
2025-12-13,110001,Central Delhi,Delhi,Urban,130
2025-12-14,110001,Central Delhi,Delhi,Urban,108
2025-12-15,110001,Central Delhi,Delhi,Urban,254
2025-12-16,110001,Central Delhi,Delhi,Urban,269
2025-12-17,110001,Central Delhi,Delhi,Urban,225
2025-12-18,110001,Central Delhi,Delhi,Urban,175
2025-12-19,110001,Central Delhi,Delhi,Urban,168
2025-12-20,110001,Central Delhi,Delhi,Urban,143
2025-12-21,110001,Central Delhi,Delhi,Urban,96
2025-12-22,110001,Central Delhi,Delhi,Urban,253
2025-12-23,110001,Central Delhi,Delhi,Urban,214
2025-12-24,110001,Central Delhi,Delhi,Urban,232
2025-12-25,110001,Central Delhi,Delhi,Urban,44
2025-12-26,110001,Central Delhi,Delhi,Urban,260
2025-12-27,110001,Central Delhi,Delhi,Urban,120
2025-12-28,110001,Central Delhi,Delhi,Urban,89
2025-12-29,110001,Central Delhi,Delhi,Urban,264
2025-12-30,110001,Central Delhi,Delhi,Urban,245
2025-12-31,110001,Central Delhi,Delhi,Urban,199
2026-01-01,110001,Central Delhi,Delhi,Urban,199
2026-01-02,110001,Central Delhi,Delhi,Urban,185
2026-01-03,110001,Central Delhi,Delhi,Urban,166
2026-01-04,110001,Central Delhi,Delhi,Urban,117
2026-01-05,110001,Central Delhi,Delhi,Urban,323
2026-01-06,110001,Central Delhi,Delhi,Urban,146
2026-01-07,110001,Central Delhi,Delhi,Urban,197
2026-01-08,110001,Central Delhi,Delhi,Urban,193
2026-01-09,110001,Central Delhi,Delhi,Urban,174
2026-01-10,110001,Central Delhi,Delhi,Urban,94
2026-01-11,110001,Central Delhi,Delhi,Urban,58
2026-01-12,110001,Central Delhi,Delhi,Urban,207
2026-01-13,110001,Central Delhi,Delhi,Urban,215
2026-01-14,110001,Central Delhi,Delhi,Urban,215
2026-01-15,110001,Central Delhi,Delhi,Urban,175
2026-01-16,110001,Central Delhi,Delhi,Urban,166
2026-01-17,110001,Central Delhi,Delhi,Urban,173
2026-01-18,110001,Central Delhi,Delhi,Urban,95
2026-01-19,110001,Central Delhi,Delhi,Urban,249
2026-01-20,110001,Central Delhi,Delhi,Urban,214
2026-01-21,110001,Central Delhi,Delhi,Urban,211
2026-01-22,110001,Central Delhi,Delhi,Urban,211
2026-01-23,110001,Central Delhi,Delhi,Urban,164
2026-01-24,110001,Central Delhi,Delhi,Urban,103
2026-01-25,110001,Central Delhi,Delhi,Urban,94
2026-01-26,110001,Central Delhi,Delhi,Urban,25
2026-01-27,110001,Central Delhi,Delhi,Urban,300
2026-01-28,110001,Central Delhi,Delhi,Urban,220
2026-01-29,110001,Central Delhi,Delhi,Urban,219
2026-01-30,110001,Central Delhi,Delhi,Urban,154
2026-01-31,110001,Central Delhi,Delhi,Urban,137
2025-01-01,400001,Mumbai City,Maharashtra,Urban,241
2025-01-02,400001,Mumbai City,Maharashtra,Urban,221
2025-01-03,400001,Mumbai City,Maharashtra,Urban,241
2025-01-04,400001,Mumbai City,Maharashtra,Urban,162
2025-01-05,400001,Mumbai City,Maharashtra,Urban,122
2025-01-06,400001,Mumbai City,Maharashtra,Urban,284
2025-01-07,400001,Mumbai City,Maharashtra,Urban,242
2025-01-08,400001,Mumbai City,Maharashtra,Urban,229
2025-01-09,400001,Mumbai City,Maharashtra,Urban,245
2025-01-10,400001,Mumbai City,Maharashtra,Urban,196
2025-01-11,400001,Mumbai City,Maharashtra,Urban,182
2025-01-12,400001,Mumbai City,Maharashtra,Urban,95
2025-01-13,400001,Mumbai City,Maharashtra,Urban,288
2025-01-14,400001,Mumbai City,Maharashtra,Urban,263
2025-01-15,400001,Mumbai City,Maharashtra,Urban,237
2025-01-16,400001,Mumbai City,Maharashtra,Urban,289
2025-01-17,400001,Mumbai City,Maharashtra,Urban,221
2025-01-18,400001,Mumbai City,Maharashtra,Urban,172
2025-01-19,400001,Mumbai City,Maharashtra,Urban,93
2025-01-20,400001,Mumbai City,Maharashtra,Urban,193
2025-01-21,400001,Mumbai City,Maharashtra,Urban,191
2025-01-22,400001,Mumbai City,Maharashtra,Urban,222
2025-01-23,400001,Mumbai City,Maharashtra,Urban,240
2025-01-24,400001,Mumbai City,Maharashtra,Urban,225
2025-01-25,400001,Mumbai City,Maharashtra,Urban,150
2025-01-26,400001,Mumbai City,Maharashtra,Urban,23
2025-01-27,400001,Mumbai City,Maharashtra,Urban,366
2025-01-28,400001,Mumbai City,Maharashtra,Urban,282
2025-01-29,400001,Mumbai City,Maharashtra,Urban,199
2025-01-30,400001,Mumbai City,Maharashtra,Urban,190
2025-01-31,400001,Mumbai City,Maharashtra,Urban,211
2025-02-01,400001,Mumbai City,Maharashtra,Urban,176
2025-02-02,400001,Mumbai City,Maharashtra,Urban,104
2025-02-03,400001,Mumbai City,Maharashtra,Urban,262
2025-02-04,400001,Mumbai City,Maharashtra,Urban,233
2025-02-05,400001,Mumbai City,Maharashtra,Urban,328
2025-02-06,400001,Mumbai City,Maharashtra,Urban,202
2025-02-07,400001,Mumbai City,Maharashtra,Urban,234
2025-02-08,400001,Mumbai City,Maharashtra,Urban,188
2025-02-09,400001,Mumbai City,Maharashtra,Urban,83
2025-02-10,400001,Mumbai City,Maharashtra,Urban,185
2025-02-11,400001,Mumbai City,Maharashtra,Urban,259
2025-02-12,400001,Mumbai City,Maharashtra,Urban,206
2025-02-13,400001,Mumbai City,Maharashtra,Urban,230
2025-02-14,400001,Mumbai City,Maharashtra,Urban,265
2025-02-15,400001,Mumbai City,Maharashtra,Urban,148
2025-02-16,400001,Mumbai City,Maharashtra,Urban,142
2025-02-17,400001,Mumbai City,Maharashtra,Urban,265
2025-02-18,400001,Mumbai City,Maharashtra,Urban,269
2025-02-19,400001,Mumbai City,Maharashtra,Urban,255
2025-02-20,400001,Mumbai City,Maharashtra,Urban,263
2025-02-21,400001,Mumbai City,Maharashtra,Urban,252
2025-02-22,400001,Mumbai City,Maharashtra,Urban,132
2025-02-23,400001,Mumbai City,Maharashtra,Urban,97
2025-02-24,400001,Mumbai City,Maharashtra,Urban,243
2025-02-25,400001,Mumbai City,Maharashtra,Urban,241
2025-02-26,400001,Mumbai City,Maharashtra,Urban,215
2025-02-27,400001,Mumbai City,Maharashtra,Urban,172
2025-02-28,400001,Mumbai City,Maharashtra,Urban,246
2025-03-01,400001,Mumbai City,Maharashtra,Urban,167
2025-03-02,400001,Mumbai City,Maharashtra,Urban,154
2025-03-03,400001,Mumbai City,Maharashtra,Urban,306
2025-03-04,400001,Mumbai City,Maharashtra,Urban,310
2025-03-05,400001,Mumbai City,Maharashtra,Urban,254
2025-03-06,400001,Mumbai City,Maharashtra,Urban,280
2025-03-07,400001,Mumbai City,Maharashtra,Urban,237
2025-03-08,400001,Mumbai City,Maharashtra,Urban,156
2025-03-09,400001,Mumbai City,Maharashtra,Urban,108
2025-03-10,400001,Mumbai City,Maharashtra,Urban,342
2025-03-11,400001,Mumbai City,Maharashtra,Urban,267
2025-03-12,400001,Mumbai City,Maharashtra,Urban,153
2025-03-13,400001,Mumbai City,Maharashtra,Urban,240
2025-03-14,400001,Mumbai City,Maharashtra,Urban,50
2025-03-15,400001,Mumbai City,Maharashtra,Urban,216
2025-03-16,400001,Mumbai City,Maharashtra,Urban,105
2025-03-17,400001,Mumbai City,Maharashtra,Urban,303
2025-03-18,400001,Mumbai City,Maharashtra,Urban,308
2025-03-19,400001,Mumbai City,Maharashtra,Urban,176
2025-03-20,400001,Mumbai City,Maharashtra,Urban,236
2025-03-21,400001,Mumbai City,Maharashtra,Urban,221
2025-03-22,400001,Mumbai City,Maharashtra,Urban,146
2025-03-23,400001,Mumbai City,Maharashtra,Urban,124
2025-03-24,400001,Mumbai City,Maharashtra,Urban,286
2025-03-25,400001,Mumbai City,Maharashtra,Urban,272
2025-03-26,400001,Mumbai City,Maharashtra,Urban,278
2025-03-27,400001,Mumbai City,Maharashtra,Urban,241
2025-03-28,400001,Mumbai City,Maharashtra,Urban,234
2025-03-29,400001,Mumbai City,Maharashtra,Urban,172
2025-03-30,400001,Mumbai City,Maharashtra,Urban,85
2025-03-31,400001,Mumbai City,Maharashtra,Urban,45
2025-04-01,400001,Mumbai City,Maharashtra,Urban,499
2025-04-02,400001,Mumbai City,Maharashtra,Urban,256
2025-04-03,400001,Mumbai City,Maharashtra,Urban,233
2025-04-04,400001,Mumbai City,Maharashtra,Urban,228
2025-04-05,400001,Mumbai City,Maharashtra,Urban,228
